Schlüssel;Zusammenfassung;Ursprüngliche Schätzung;Verbleibende Schätzung;Benötigte Zeit;Priorität;Beschreibung
MDK-12997;"QP Pflege SGB XI - Prüfbericht(Produktergebnis)- Frage 3.5 erscheint nicht in der Tabelle ""Empfehlungen zur Beseitigung von Qualitätsdefiziten""";14400;0;43200;Medium;"Frage 3.5 (E Frage) wurde im EHB Einrichtung ausgefüllt und ""Empfehlung geben"" angekreuzt 
Im Produktergebnis wird Frage 3.5 nicht in die Tabelle(Empfehlungen zur Beseitigung von Qualitätsdefiziten) aufgenommen 

 "
MDK-12996;QPs - Stichprobenziehung Kurzzeitpflege - Aktivierung der Felder;14400;0;11700;Medium;"Ist: 

Bogen ""Stichprobenziehung Kurzzeitpflege"", Abschnitte: 
* ""Subgruppe A 2 KPf-Gäste"" 
* Ersatzauswahl für Subgruppe C 


* Bei der Checkbox ""Einziehung möglich"" in den oberen Abschnitten noch keine Markierung (Ja/Nein) erfolgt. 
* Das Feld ""Begründung"" und ein Freitextfeld sind aktiviert 

Soll: 
* Das Feld ""Begründung"" und das Freitextfeld sollen ausschließlich aktiviert sein, wenn unter ""Einbeziehung möglich"" ""Nein"" ausgewählt wurde 

!image-2020-07-16-14-43-45-781.png|thumbnail!"
MDK-12993;QPs - EHB Stichprobenbildung ohne Ergebniserfassung - Prüfart;14400;0;19800;Medium;"IST: 
Wird im EHB ""Stichprobenbildung ohne Ergebniserfassung"" im Abschnitt ""Stichprobenbildung vollstationär ohne Ergebniserfassung"" ""Regelprüfung"" markiert, dann ist im Abschnitt ""Ergänzende Stichprobe bei Anlass- /Wiederholungsprüfung"" über den Button ""Weiteres"" eine weitere Person erfassbar. 

Soll: 
Im Abschnitt ""Ergänzende Stichprobe bei Anlass- /Wiederholungsprüfung"" soll ausschließlich eine Person erfassbar sein, wenn in Abschnitt ""Stichprobenbildung vollstationär ohne Ergebniserfassung"" ""Anlass/Wiederholungsprüfung"" markiert wurde 

!image-2020-07-16-13-54-26-361.png|thumbnail! 
!image-2020-07-16-13-54-46-130.png|thumbnail!"
MDK-12991;Schneller Wechsel zwischen Aufträgen unterschiedlichen Types erzeugt Endlosschleife;14400;0;52200;Medium;Getestet gegen QA als michael_meier. Ein schneller mehrmaliger Wechsel zwischen einem Prüfauftrag QPa SGB V und QPs SGB XI erzeugt einen Fehler und ab da auch immer weiter Requests, bis die Auftragsübersicht verlassen wird.
MDK-12990;[UI] Modaldialog Mitarbeiter löschen verkraftet keine langen Namen;14400;0;8100;Medium;Siehe Screenshot
MDK-12988;QPs - Anlage des Prüfbogen A im Produktergebnis ist inhaltlich ist nicht vollständig zum Prüfbogen A;14400;0;28800;Medium;"IST: 

* Es wurde ein Prüfbericht erstellt 
* Die Anlage des Prüfbogen A ist inhaltlich nicht vollständig zum Prüfbogen A. 
* Einzelne Kapitel sind in der Anlage komplett nicht befüllt: 
* * Bereich 1 
* !image-2020-07-16-11-29-48-015.png|thumbnail! 
* !image-2020-07-16-11-30-06-618.png|thumbnail! 
* !image-2020-07-16-11-30-20-937.png|thumbnail! 
* !image-2020-07-16-11-30-38-883.png|thumbnail! 
* !image-2020-07-16-11-30-59-059.png|thumbnail! 
* !image-2020-07-16-11-31-15-922.png|thumbnail! 

Kapitel 2.1 bis Ende 

!image-2020-07-16-11-32-44-531.png|thumbnail! 
!image-2020-07-16-11-33-06-933.png|thumbnail! 
!image-2020-07-16-11-33-36-993.png|thumbnail! 
!image-2020-07-16-11-33-57-751.png|thumbnail! 


Ist: Es sollen die Inhalte angezeigt werden"
MDK-12987;QPs - Produktergebnis - Bereich 6 ohne Stiftsymbol;14400;0;32400;Medium;"IST: 

* Im Produktergebnis sind in der Tabelle in Bereich 6 ab der Frage 5.1 keine Stiftsymbole vorhanden. 

Soll: 
* Es sollen in der Tabelle ab Frage 5.1 Stiftsymbole vorhanden sein."
MDK-12986;"QP HKP - EHB Person Checkbox ""keine"" fehlt";14400;0;18000;Medium;"h3. Abschnitt: Hilfstabelle b 8.2 Übersicht Leistungsgeschehen SGB V  
h3.   

IST: Die Checkbox für ""Keine"" fehlt in 8.2 Leistungsgeschehen SGB V b) 

  

SOLL: Wenn ""keine"" aktiviert, dann Fragen der Hilfstabelle deaktivieren 

!image-2020-07-16-10-03-32-144.png!"
MDK-12985;"QPa - Bogen Person - Checkbox ""keine"" fehlt";14400;0;213900;Medium;"h3. Abschnitt: Hilfstabelle b 8.2 Übersicht Leistungsgeschehen SGB V  
h3. 
IST: Die Checkbox für ""Keine"" fehlt in 8.2 Leistungsgeschehen SGB V b) 

  

SOLL: Wenn ""keine"" aktiviert, dann Fragen der Hilfstabelle deaktivieren 

!image-2020-07-16-09-47-21-460.png!"
MDK-12983;[Audit durch einen anderen MDK] Button abschließen wird grau nach Bearbeitung des Produkttyps;14400;0;33300;Medium;"+*Schritte*+ 

Wenn ich einen Vorgang für Audit anlege, 

ihn in den Zustand ""abgeschlossen"" überführe 

und wiedereröffne, dann verschwinden die Buttons (siehe Gif im Anhang). 

Wenn ich zwischen den Aufträgen wechsle, dann ist der Button wieder enabled. 

+*Erwartetes Ergebnis*+ 

Der Button ""Abschließen"" sollte nicht disabled werden."
MDK-12982;Produktbasis.isFreigabeZuruecknehmenMoeglich: basisDomainObjectType undefined;14400;0;5400;Medium;"Getestet auf QA, Auftrag SGB XI, Einrichtungs-Bogen in Supervision mit User alf_reed. Beim öffnen des Produktbogens kommt es zu einem Fehler im Permission-Service, da 'typ' im domainObject undefined ist. 

Der Fehler ist mit michael_meier NICHT reproduzierbar. 

Das selbe Problem besteht auch im Produktergebnis. 

Bitte durch voa.typ ersetzen."
MDK-12969;QPs - Produktergebnis - Anzahl der Personen in Kapitel 3 wird nicht korrekt berechnet;14400;0;14400;Medium;"IST: 
* Im Produktergebnis wird in der Tabelle in Kapitel 3 die Summe in der Spalte ""Anzahl der Personen insgesamt, bei denen der Qualitätsaspekt geprüft wurde"" nicht korrekt berechnet 
* In Zeile ""Qualitätsaspekt 2.5"" wird die Summe ""0"" berechnet, obwohl 2 P-Nr angezeigt werden 

Soll: 
* Bei ""Qualitätsaspekt 2.5"" soll die Summe ""2"" berechnet werden"
MDK-12961;QPs - Prüfbericht - Pflichtfeldvalidierung fehlt;14400;0;7200;Medium;"IST: 
Im Prüfbericht ist in Kapitel 2 (S.2) ein Freitextfeld 3 kein Pflichtfeld 

Soll: 
Laut Konzept soll Freitextfeld 3 ein Pflichtfeld sein. 

Freitext 3 ist das Textfeld, welches sich unter dem Feld mit dem Text ""Eine personenbezogene Plausibilitätskontrolle...."" befindet. 
"
